"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"107","경기도 성남시 중원구 산성대로 540, 신성빌딩 (은행동)","옥상",19.72,92.45,4.68813387423935
"108","경기도 성남시 중원구 갈현로 43(갈현동)","옥상",80.16,385.2,4.80538922155689
"109","경기도 성남시 중원구 마지로 46-8(하대원동)","옥상",40.6,166.26,4.09507389162562
"110","경기도 성남시 수정구 단대로16번길 2, 염광빌딩 (단대동)","옥상",29.76,143,4.80510752688172
"111","경기도 성남시 중원구 산성대로372번길 13-1(금광동)","옥상",19.62,92,4.68909276248726
"112","경기도 성남시 분당구 분당로 50, 분당구청 (수내동)","옥상",28.8,188,6.52777777777778
"113","경기도 시흥시 공단2대로256번길 35, 가동 건물위","옥상",93,432.75,4.65322580645161
"114","경기도 시흥시 공단2대로256번길 35, 가,나동 건물위","옥상",93,432.75,4.65322580645161
"115","경기도 시흥시 마유로186번길 55, 건물위","옥상",99.22,442.3,4.45777061076396
"116","경기도 시흥시 마유로186번길 55, 건물위","옥상",89.54,399.1,4.45722582086218
"117","경기도 시흥시 경기과기대로 187, 건물위 가동","옥상",99.83,445,4.45757788240008
"118","경기도 시흥시 목감둘레로 188-2, A동, D동 건물위","옥상",99,457,4.61616161616162
"119","경기도 시흥시 시화벤처로 305, 건물위 A동","옥상",99,455.77,4.60373737373737
"120","경기도 시흥시 시화벤처로 305, 건물위 A동","옥상",36,165.74,4.60388888888889
"121","경기도 시흥시 시화벤처로 305, 건물위 B동","옥상",99,455.77,4.60373737373737
"122","경기도 시흥시 시화벤처로 305, 건물위 B동","옥상",84,386.72,4.60380952380952
"123","경기도 시흥시 공단2대로76번길 39, 건물위 A동","옥상",96,446.71,4.65322916666667
"124","경기도 시흥시 공단2대로76번길 39, 건물위 A동","옥상",31.2,145.18,4.65320512820513
"125","경기도 시흥시 마유로20번길 2, 건물위 1,2동","옥상",99.63,452.289,4.53968684131286
"126","경기도 시흥시 마유로20번길 2, 건물위 1동","옥상",99.63,452.289,4.53968684131286
"127","경기도 시흥시 마유로20번길 2, 건물위 1동","옥상",99.63,452.289,4.53968684131286
"128","경기도 시흥시 경기과기대로 39, 건물위","옥상",99.63,452.289,4.53968684131286
